CustomerID,Age,AnnualIncome,Channel,ProductType,ABTestGroup,PropensityScore,AnnualPremium,Converted,CampaignDate
CUST-00057,41,49525,Paid Search,Term Life,Variant A,53,15.0,1,2026-04-19
CUST-00058,67,84718,Paid Search,Term Life,Control,79,0.0,0,2026-04-09
CUST-00059,43,90688,Paid Search,Whole Life,Control,55,19.37,1,2026-02-05
CUST-00060,37,33217,Paid Search,Term Life,Control,54,0.0,0,2026-02-26
CUST-00061,34,92261,Paid Search,Accidental Death,Control,32,0.0,0,2026-03-04
CUST-00062,61,91124,Paid Search,Accidental Death,Control,78,0.0,0,2026-03-23
CUST-00063,32,41551,Email,Whole Life,Control,9,15.0,1,2026-01-20
CUST-00064,50,104966,Paid Search,Term Life,Control,60,15.0,1,2026-03-26
CUST-00065,35,28578,Paid Search,Whole Life,Control,68,0.0,0,2026-02-16
CUST-00066,36,49380,Paid Social,Term Life,Variant A,93,15.0,1,2026-01-20
CUST-00067,54,76975,Paid Search,Term Life,Variant A,21,15.0,1,2026-04-29
CUST-00068,37,43660,Email,Term Life,Control,93,15.0,1,2026-01-06
CUST-00069,37,71595,Paid Search,Accidental Death,Variant A,59,0.0,0,2026-03-14
CUST-00070,55,71026,Email,Term Life,Variant A,13,0.0,0,2026-04-17
CUST-00071,61,60323,Paid Social,Whole Life,Control,95,15.0,1,2026-04-03
CUST-00072,49,85810,Paid Search,Whole Life,Control,93,0.0,0,2026-01-29
CUST-00073,34,59290,Paid Search,Term Life,Variant A,72,0.0,0,2026-03-18
CUST-00074,35,70788,Email,Term Life,Control,77,0.0,0,2026-04-10
CUST-00075,42,93661,Paid Social,Accidental Death,Variant A,83,15.0,1,2026-04-01
CUST-00076,45,84767,Paid Social,Whole Life,Variant A,20,0.0,0,2026-04-21
CUST-00077,30,84650,Paid Social,Whole Life,Variant A,20,0.0,0,2026-02-18
CUST-00078,50,36270,Paid Search,Term Life,Variant A,17,0.0,0,2026-04-18
CUST-00079,43,78119,Paid Search,Term Life,Variant A,82,15.0,1,2026-01-06
CUST-00080,21,43037,Paid Search,Term Life,Variant A,90,0.0,0,2026-02-08
CUST-00081,30,32964,Email,Term Life,Variant A,89,0.0,0,2026-02-01
CUST-00082,35,63207,Paid Social,Term Life,Control,77,15.0,1,2026-02-18
CUST-00083,41,42392,Paid Search,Accidental Death,Variant A,67,15.0,1,2026-02-12
CUST-00084,64,84765,Paid Search,Term Life,Variant A,45,0.0,0,2026-04-18
CUST-00085,44,85363,Paid Search,Term Life,Variant A,57,15.0,1,2026-01-28
CUST-00086,31,25000,Paid Search,Whole Life,Control,72,0.0,0,2026-02-14
CUST-00087,44,44292,Paid Social,Whole Life,Control,78,0.0,0,2026-03-06
CUST-00088,37,28505,Paid Social,Term Life,Variant A,13,0.0,0,2026-02-19
CUST-00089,45,53434,Email,Whole Life,Variant A,55,0.0,0,2026-02-23
CUST-00090,48,76379,Paid Social,Term Life,Control,52,15.0,1,2026-02-20
CUST-00091,56,58942,Paid Search,Term Life,Control,84,15.0,1,2026-02-12
CUST-00092,41,50256,Paid Social,Term Life,Variant A,53,0.0,0,2026-03-05
CUST-00093,61,97504,Paid Social,Accidental Death,Control,22,0.0,0,2026-04-05
CUST-00094,52,25000,Paid Social,Term Life,Control,14,0.0,0,2026-01-30
CUST-00095,33,95921,Paid Social,Term Life,Variant A,89,15.0,1,2026-04-28
CUST-00096,68,51392,Paid Social,Term Life,Variant A,58,15.0,1,2026-03-23
CUST-00097,45,63047,Paid Social,Accidental Death,Control,83,15.0,1,2026-04-03
CUST-00098,31,51815,Paid Social,Term Life,Variant A,19,0.0,0,2026-02-11
CUST-00099,61,103572,Paid Search,Term Life,Variant A,15,0.0,0,2026-02-07
CUST-00100,66,34225,Paid Search,Term Life,Variant A,44,15.0,1,2026-03-28
CUST-00101,41,65293,Paid Search,Term Life,Control,51,0.0,0,2026-03-27
CUST-00102,35,78185,Paid Social,Whole Life,Control,24,0.0,0,2026-03-07
CUST-00103,39,25000,Paid Search,Whole Life,Control,26,0.0,0,2026-03-10
CUST-00104,50,42002,Paid Social,Term Life,Control,52,0.0,0,2026-04-16
CUST-00105,57,61295,Email,Term Life,Control,86,15.0,1,2026-01-15
CUST-00106,48,42833,Paid Search,Term Life,Control,20,0.0,0,2026-03-02
CUST-00107,43,44610,Paid Social,Term Life,Control,9,0.0,0,2026-04-06
CUST-00108,59,56253,Paid Social,Term Life,Control,69,0.0,0,2026-04-20
CUST-00109,38,81239,Paid Search,Whole Life,Control,87,0.0,0,2026-01-06
CUST-00110,54,56432,Paid Search,Accidental Death,Control,78,0.0,0,2026-03-19
CUST-00111,38,91960,Paid Search,Accidental Death,Variant A,25,0.0,0,2026-01-24
CUST-00112,47,40056,Paid Search,Accidental Death,Control,65,0.0,0,2026-03-26
CUST-00113,40,33701,Email,Whole Life,Control,81,0.0,0,2026-01-14
CUST-00114,41,113158,Email,Whole Life,Control,59,19.68,1,2026-01-12
CUST-00115,37,48551,Paid Social,Term Life,Variant A,28,0.0,0,2026-02-24
CUST-00116,58,32227,Email,Whole Life,Control,27,0.0,0,2026-03-09
CUST-00117,33,25000,Email,Term Life,Variant A,91,0.0,0,2026-02-13
CUST-00118,33,91877,Paid Search,Term Life,Variant A,15,0.0,0,2026-03-26
CUST-00119,67,56467,Email,Whole Life,Control,51,15.0,1,2026-03-22
CUST-00120,53,58657,Paid Social,Term Life,Variant A,6,0.0,0,2026-04-03
CUST-00121,18,61019,Email,Term Life,Variant A,74,15.0,1,2026-02-20
CUST-00122,35,90323,Email,Accidental Death,Control,57,15.0,1,2026-03-21
CUST-00123,20,60511,Paid Search,Term Life,Control,15,0.0,0,2026-03-23
CUST-00124,30,123601,Paid Search,Term Life,Variant A,19,0.0,0,2026-02-07
CUST-00125,18,68344,Paid Search,Accidental Death,Variant A,77,0.0,0,2026-02-10
CUST-00126,40,91544,Paid Social,Whole Life,Control,16,15.0,1,2026-04-25
CUST-00127,28,85130,Email,Whole Life,Control,40,15.0,1,2026-02-13
CUST-00128,42,64088,Email,Term Life,Control,96,15.0,1,2026-03-16
CUST-00129,22,50325,Paid Search,Term Life,Variant A,27,0.0,0,2026-04-06
CUST-00130,42,73299,Paid Social,Accidental Death,Variant A,31,0.0,0,2026-04-02
CUST-00131,37,77752,Paid Social,Whole Life,Control,92,15.0,1,2026-01-16
CUST-00132,60,50685,Paid Search,Whole Life,Variant A,18,0.0,0,2026-04-08
CUST-00133,58,69158,Paid Search,Term Life,Control,58,0.0,0,2026-02-19
CUST-00134,51,95905,Paid Search,Term Life,Variant A,31,0.0,0,2026-04-04
CUST-00135,38,116748,Email,Accidental Death,Control,25,0.0,0,2026-02-07
CUST-00136,65,86359,Paid Search,Term Life,Variant A,53,15.0,1,2026-03-27
CUST-00137,23,111568,Paid Social,Whole Life,Variant A,66,19.74,1,2026-01-05
CUST-00138,25,49265,Paid Social,Term Life,Variant A,81,0.0,0,2026-01-09
CUST-00139,40,82547,Paid Search,Whole Life,Control,76,15.0,1,2026-03-18
CUST-00140,69,98462,Email,Accidental Death,Variant A,48,0.0,0,2026-02-08
CUST-00141,39,42591,Email,Whole Life,Variant A,48,0.0,0,2026-03-28
CUST-00142,39,52860,Paid Search,Term Life,Variant A,65,15.0,1,2026-01-27
CUST-00143,24,108447,Paid Social,Whole Life,Control,46,0.0,0,2026-02-01
CUST-00144,53,40622,Paid Search,Whole Life,Variant A,27,0.0,0,2026-03-05
CUST-00145,53,31471,Paid Search,Term Life,Control,77,0.0,0,2026-04-05
CUST-00146,51,103199,Paid Search,Accidental Death,Control,5,0.0,0,2026-02-02
CUST-00147,34,94919,Paid Social,Whole Life,Control,40,0.0,0,2026-04-16
CUST-00148,33,75803,Paid Social,Accidental Death,Control,59,0.0,0,2026-03-31
CUST-00149,26,63857,Paid Search,Whole Life,Control,20,0.0,0,2026-01-18
CUST-00150,43,54036,Paid Search,Term Life,Control,93,15.0,1,2026-03-17
CUST-00151,29,72048,Email,Term Life,Control,22,0.0,0,2026-03-08
CUST-00152,27,104495,Paid Search,Term Life,Variant A,42,0.0,0,2026-01-05
CUST-00153,36,70964,Paid Search,Accidental Death,Control,71,15.0,1,2026-03-19
CUST-00154,36,119173,Paid Social,Whole Life,Variant A,24,0.0,0,2026-02-28
CUST-00155,35,42551,Email,Whole Life,Variant A,23,0.0,0,2026-04-21
CUST-00156,47,64507,Paid Search,Term Life,Variant A,17,0.0,0,2026-03-17
CUST-00157,42,55673,Paid Social,Term Life,Variant A,21,0.0,0,2026-01-04
CUST-00158,38,37871,Paid Social,Whole Life,Control,82,15.0,1,2026-04-30
CUST-00159,44,61172,Paid Search,Term Life,Variant A,34,0.0,0,2026-01-16
CUST-00160,30,75433,Paid Social,Term Life,Variant A,90,15.0,1,2026-03-16
CUST-00161,43,78105,Paid Search,Whole Life,Variant A,47,15.0,1,2026-04-10
CUST-00162,43,119261,Paid Social,Term Life,Variant A,52,0.0,0,2026-04-12
CUST-00163,23,76611,Paid Social,Term Life,Variant A,47,0.0,0,2026-02-17
CUST-00164,53,93753,Paid Social,Term Life,Control,97,15.0,1,2026-03-07
CUST-00165,31,66652,Paid Search,Term Life,Variant A,70,0.0,0,2026-03-18
CUST-00166,43,106951,Email,Accidental Death,Variant A,57,0.0,0,2026-01-08
CUST-00167,55,124961,Paid Search,Term Life,Control,76,15.0,1,2026-02-13
CUST-00168,53,78277,Paid Search,Term Life,Variant A,82,15.0,1,2026-01-21
CUST-00169,42,40183,Paid Search,Term Life,Variant A,38,0.0,0,2026-01-26
CUST-00170,37,51279,Paid Social,Whole Life,Variant A,81,15.0,1,2026-04-12
CUST-00171,53,72048,Paid Social,Term Life,Variant A,78,15.0,1,2026-02-04
CUST-00172,50,76412,Paid Search,Whole Life,Control,76,0.0,0,2026-01-15
CUST-00173,34,82460,Paid Social,Term Life,Variant A,75,0.0,0,2026-02-09
CUST-00174,32,76504,Paid Search,Term Life,Variant A,17,0.0,0,2026-01-30
CUST-00175,18,65174,Paid Social,Term Life,Variant A,94,15.0,1,2026-03-07
CUST-00176,43,49095,Paid Search,Accidental Death,Control,60,15.0,1,2026-03-21
CUST-00177,41,75028,Paid Social,Accidental Death,Control,63,15.0,1,2026-01-13
CUST-00178,55,111374,Paid Search,Term Life,Variant A,36,15.0,1,2026-01-01
CUST-00179,46,90498,Email,Whole Life,Control,87,15.15,1,2026-02-12
CUST-00180,58,78367,Paid Search,Accidental Death,Variant A,83,15.0,1,2026-01-28
CUST-00181,33,90739,Paid Search,Term Life,Control,58,15.0,1,2026-01-01
CUST-00182,55,55723,Paid Search,Accidental Death,Variant A,6,0.0,0,2026-02-09
CUST-00183,35,52293,Email,Term Life,Control,41,0.0,0,2026-02-03
CUST-00184,51,46305,Email,Accidental Death,Variant A,87,15.0,1,2026-01-13
CUST-00185,24,61867,Paid Search,Whole Life,Variant A,37,0.0,0,2026-03-02
CUST-00186,44,54449,Paid Social,Accidental Death,Control,5,0.0,0,2026-04-27
CUST-00187,18,95206,Email,Whole Life,Variant A,32,0.0,0,2026-03-07
CUST-00188,38,53116,Paid Social,Term Life,Control,21,0.0,0,2026-01-04
CUST-00189,47,44931,Paid Social,Accidental Death,Variant A,61,0.0,0,2026-03-30
CUST-00190,35,113564,Paid Search,Term Life,Variant A,74,15.0,1,2026-04-08
CUST-00191,29,53715,Paid Search,Term Life,Control,56,15.0,1,2026-01-13
CUST-00192,52,68838,Email,Whole Life,Control,48,0.0,0,2026-02-05
CUST-00193,40,76283,Email,Whole Life,Variant A,88,0.0,0,2026-04-06
CUST-00194,36,36582,Paid Social,Accidental Death,Control,51,15.0,1,2026-03-02
CUST-00195,42,95887,Paid Search,Term Life,Control,17,0.0,0,2026-02-27
CUST-00196,73,80927,Paid Search,Whole Life,Variant A,80,15.0,1,2026-03-26
CUST-00197,55,103959,Paid Social,Whole Life,Control,34,0.0,0,2026-03-31
CUST-00198,55,48019,Email,Term Life,Variant A,89,15.0,1,2026-01-15
CUST-00199,47,67478,Email,Term Life,Variant A,70,0.0,0,2026-04-03
CUST-00200,43,65983,Paid Social,Term Life,Control,57,0.0,0,2026-03-31
CUST-00201,18,71597,Paid Social,Term Life,Control,22,15.0,1,2026-03-26
CUST-00202,33,28634,Paid Search,Accidental Death,Variant A,32,15.0,1,2026-01-12
CUST-00203,36,67770,Paid Search,Whole Life,Control,8,0.0,0,2026-03-17
CUST-00204,19,29338,Email,Whole Life,Control,46,0.0,0,2026-03-10
CUST-00205,28,73958,Paid Social,Accidental Death,Variant A,10,0.0,0,2026-03-02
CUST-00206,18,25000,Paid Search,Term Life,Variant A,13,0.0,0,2026-02-11
CUST-00207,41,25000,Paid Search,Accidental Death,Control,24,0.0,0,2026-03-31
CUST-00208,51,85463,Paid Social,Term Life,Variant A,98,15.0,1,2026-02-01
CUST-00209,55,51329,Paid Search,Accidental Death,Variant A,42,15.0,1,2026-01-02
CUST-00210,46,40303,Paid Search,Term Life,Variant A,72,15.0,1,2026-01-08
CUST-00211,30,96771,Paid Social,Accidental Death,Variant A,54,15.0,1,2026-04-01
CUST-00212,18,73190,Paid Social,Term Life,Variant A,64,0.0,0,2026-04-11
CUST-00213,20,86802,Paid Social,Term Life,Control,17,0.0,0,2026-02-23
CUST-00214,26,60843,Paid Search,Whole Life,Control,98,0.0,0,2026-01-08
CUST-00215,31,131990,Paid Social,Term Life,Control,46,0.0,0,2026-03-29
CUST-00216,40,49887,Paid Search,Whole Life,Control,72,15.0,1,2026-01-13
CUST-00217,29,108612,Paid Search,Term Life,Control,29,0.0,0,2026-01-29
CUST-00218,46,63465,Paid Social,Whole Life,Control,35,15.0,1,2026-01-13
CUST-00219,39,25000,Paid Social,Term Life,Variant A,16,0.0,0,2026-02-27
CUST-00220,42,77071,Email,Term Life,Control,68,0.0,0,2026-03-04
CUST-00221,55,72869,Paid Social,Term Life,Variant A,83,0.0,0,2026-03-28
CUST-00222,27,38716,Paid Social,Term Life,Control,65,15.0,1,2026-02-16
CUST-00223,47,41944,Paid Search,Term Life,Variant A,57,0.0,0,2026-03-20
CUST-00224,41,64382,Paid Search,Term Life,Variant A,30,0.0,0,2026-03-29
CUST-00225,37,73743,Paid Search,Term Life,Variant A,65,0.0,0,2026-04-17
CUST-00226,52,25000,Paid Search,Term Life,Variant A,14,0.0,0,2026-03-28
CUST-00227,52,91328,Email,Whole Life,Variant A,16,0.0,0,2026-03-15
CUST-00228,30,52637,Paid Search,Accidental Death,Variant A,26,0.0,0,2026-02-07
CUST-00229,39,31706,Email,Term Life,Control,57,15.0,1,2026-03-10
CUST-00230,45,88526,Paid Social,Whole Life,Variant A,25,0.0,0,2026-03-10
CUST-00231,38,64409,Paid Social,Whole Life,Control,39,0.0,0,2026-04-05
CUST-00232,49,95404,Paid Social,Term Life,Control,75,0.0,0,2026-02-09
CUST-00233,45,75948,Paid Social,Whole Life,Control,86,15.0,1,2026-01-01
CUST-00234,63,64962,Paid Social,Term Life,Control,31,0.0,0,2026-01-02
CUST-00235,23,61181,Paid Search,Whole Life,Control,64,15.0,1,2026-04-23
CUST-00236,40,77067,Paid Social,Term Life,Control,51,15.0,1,2026-01-29
CUST-00237,31,54661,Paid Search,Whole Life,Control,70,0.0,0,2026-01-07
CUST-00238,49,43685,Paid Search,Whole Life,Control,19,0.0,0,2026-04-03
CUST-00239,22,80247,Paid Social,Term Life,Control,28,0.0,0,2026-02-26
CUST-00240,46,61387,Paid Search,Term Life,Variant A,88,0.0,0,2026-02-24
CUST-00241,34,65839,Email,Accidental Death,Control,14,0.0,0,2026-03-14
CUST-00242,33,92234,Email,Term Life,Variant A,92,0.0,0,2026-02-05
CUST-00243,24,62153,Email,Whole Life,Control,28,15.0,1,2026-01-07
CUST-00244,36,65375,Paid Search,Accidental Death,Variant A,92,0.0,0,2026-04-02
CUST-00245,55,50008,Paid Search,Whole Life,Control,61,0.0,0,2026-01-10
CUST-00246,41,75768,Email,Whole Life,Variant A,38,15.0,1,2026-03-21
CUST-00247,49,73745,Paid Social,Whole Life,Control,45,0.0,0,2026-03-15
CUST-00248,61,87519,Email,Accidental Death,Variant A,44,15.0,1,2026-02-08
CUST-00249,45,50521,Email,Term Life,Control,15,0.0,0,2026-02-27
CUST-00250,35,53554,Email,Term Life,Variant A,94,15.0,1,2026-03-31
CUST-00251,47,84803,Paid Search,Term Life,Control,5,0.0,0,2026-04-08
CUST-00252,35,71305,Paid Search,Accidental Death,Variant A,34,15.0,1,2026-04-08
CUST-00253,35,42344,Email,Whole Life,Variant A,47,0.0,0,2026-02-09
CUST-00254,23,97663,Paid Search,Term Life,Variant A,86,15.0,1,2026-01-14
CUST-00255,53,25000,Paid Search,Accidental Death,Variant A,30,0.0,0,2026-03-23
CUST-00256,37,84607,Paid Social,Term Life,Control,57,0.0,0,2026-01-01
CUST-00257,44,33369,Email,Term Life,Control,51,15.0,1,2026-01-17
CUST-00258,29,112144,Paid Social,Whole Life,Variant A,13,0.0,0,2026-02-18
CUST-00259,47,26385,Paid Social,Term Life,Control,13,15.0,1,2026-03-27
CUST-00260,32,93806,Paid Search,Accidental Death,Variant A,5,0.0,0,2026-04-11
CUST-00261,40,62959,Paid Social,Term Life,Control,75,0.0,0,2026-01-16
CUST-00262,52,55834,Email,Accidental Death,Variant A,48,0.0,0,2026-01-07
CUST-00263,51,69634,Paid Search,Whole Life,Variant A,63,0.0,0,2026-01-15
CUST-00264,41,80797,Paid Social,Term Life,Control,60,0.0,0,2026-04-25
CUST-00265,20,42389,Email,Accidental Death,Variant A,55,0.0,0,2026-01-21
CUST-00266,75,44605,Paid Social,Whole Life,Control,20,15.0,1,2026-03-07
CUST-00267,62,81240,Paid Social,Term Life,Control,42,0.0,0,2026-02-28
CUST-00268,50,25000,Paid Social,Term Life,Variant A,15,0.0,0,2026-02-17
CUST-00269,32,50394,Paid Search,Accidental Death,Control,29,0.0,0,2026-03-30
CUST-00270,40,141017,Paid Search,Term Life,Variant A,97,15.0,1,2026-03-14
CUST-00271,35,40799,Email,Term Life,Variant A,87,15.0,1,2026-03-25
CUST-00272,57,93695,Email,Term Life,Variant A,86,15.0,1,2026-02-19
CUST-00273,45,50351,Email,Term Life,Control,63,15.0,1,2026-01-10
CUST-00274,32,77726,Email,Whole Life,Variant A,33,0.0,0,2026-04-30
CUST-00275,36,81358,Paid Social,Term Life,Control,84,0.0,0,2026-02-21
CUST-00276,55,93223,Paid Social,Term Life,Control,44,15.0,1,2026-03-26
CUST-00277,61,59993,Paid Social,Term Life,Variant A,12,0.0,0,2026-03-09
CUST-00278,60,114722,Paid Social,Term Life,Control,10,0.0,0,2026-01-30
CUST-00279,51,50266,Paid Social,Accidental Death,Variant A,49,0.0,0,2026-02-03
CUST-00280,38,70855,Paid Social,Term Life,Control,57,0.0,0,2026-04-04
CUST-00281,18,71131,Email,Accidental Death,Control,98,15.0,1,2026-03-19
CUST-00282,45,36950,Paid Search,Term Life,Control,25,0.0,0,2026-03-27
CUST-00283,41,57853,Paid Search,Term Life,Control,61,15.0,1,2026-03-06
CUST-00284,43,69037,Paid Search,Accidental Death,Control,80,0.0,0,2026-03-01
CUST-00285,42,54196,Paid Social,Term Life,Control,10,0.0,0,2026-01-08
CUST-00286,26,126023,Paid Search,Whole Life,Variant A,67,0.0,0,2026-03-16
CUST-00287,48,44034,Paid Social,Accidental Death,Control,10,0.0,0,2026-03-06
CUST-00288,49,94485,Paid Social,Term Life,Control,57,0.0,0,2026-03-10
CUST-00289,50,86411,Paid Search,Term Life,Control,8,0.0,0,2026-02-26
CUST-00290,53,64653,Paid Social,Whole Life,Variant A,13,0.0,0,2026-02-14
CUST-00291,49,43369,Paid Search,Term Life,Control,73,15.0,1,2026-02-18
CUST-00292,37,45793,Paid Search,Term Life,Variant A,78,0.0,0,2026-03-15
CUST-00293,41,52050,Email,Term Life,Control,76,0.0,0,2026-04-29
CUST-00294,43,25000,Paid Search,Term Life,Control,91,15.0,1,2026-03-03
CUST-00295,43,39913,Paid Search,Whole Life,Control,8,0.0,0,2026-02-08
CUST-00296,53,27938,Paid Social,Term Life,Control,62,0.0,0,2026-03-18
CUST-00297,49,98646,Paid Social,Term Life,Variant A,41,0.0,0,2026-01-21
CUST-00298,66,80461,Paid Search,Whole Life,Control,75,15.0,1,2026-04-10
CUST-00299,68,84649,Paid Social,Term Life,Control,10,0.0,0,2026-02-22
CUST-00300,42,79720,Paid Search,Term Life,Control,55,0.0,0,2026-02-14
CUST-00301,18,69174,Paid Search,Whole Life,Control,83,15.0,1,2026-04-07
CUST-00302,56,101517,Paid Social,Term Life,Variant A,54,0.0,0,2026-04-17
CUST-00303,35,49730,Paid Social,Whole Life,Variant A,18,0.0,0,2026-01-28
CUST-00304,32,67666,Paid Social,Accidental Death,Control,15,0.0,0,2026-02-22
CUST-00305,37,83676,Paid Social,Term Life,Control,14,0.0,0,2026-01-09
CUST-00306,36,31969,Email,Whole Life,Variant A,65,0.0,0,2026-04-19
CUST-00307,49,142414,Paid Social,Term Life,Variant A,85,15.0,1,2026-03-16
CUST-00308,23,65714,Paid Search,Term Life,Variant A,17,0.0,0,2026-04-14
CUST-00309,29,68549,Paid Social,Accidental Death,Control,38,0.0,0,2026-04-03
CUST-00310,46,96421,Paid Search,Accidental Death,Control,64,15.0,1,2026-03-12
CUST-00311,49,87873,Paid Social,Term Life,Variant A,55,15.0,1,2026-03-02
CUST-00312,49,65951,Paid Search,Whole Life,Variant A,9,0.0,0,2026-01-27
CUST-00313,32,68253,Paid Search,Accidental Death,Variant A,78,15.0,1,2026-01-22
CUST-00314,30,27396,Email,Accidental Death,Control,36,15.0,1,2026-04-05
CUST-00315,35,51088,Email,Whole Life,Variant A,16,0.0,0,2026-01-30
CUST-00316,44,77930,Paid Social,Term Life,Control,56,0.0,0,2026-04-02
CUST-00317,59,76097,Paid Social,Term Life,Control,17,0.0,0,2026-03-25
CUST-00318,18,95529,Paid Search,Accidental Death,Variant A,89,15.0,1,2026-01-15
CUST-00319,39,61987,Paid Search,Term Life,Variant A,58,15.0,1,2026-01-15
CUST-00320,26,30317,Paid Search,Whole Life,Variant A,58,15.0,1,2026-02-22
CUST-00321,22,91418,Paid Social,Term Life,Variant A,45,0.0,0,2026-03-17
CUST-00322,53,100902,Paid Social,Term Life,Variant A,52,0.0,0,2026-03-22
CUST-00323,48,87456,Paid Social,Term Life,Variant A,55,15.0,1,2026-01-23
CUST-00324,47,60909,Paid Search,Accidental Death,Variant A,51,0.0,0,2026-03-11
CUST-00325,53,91109,Email,Term Life,Control,54,0.0,0,2026-04-19
CUST-00326,36,150722,Paid Social,Whole Life,Variant A,80,0.0,0,2026-01-16
CUST-00327,36,67878,Paid Social,Term Life,Control,50,0.0,0,2026-04-01
CUST-00328,68,32206,Paid Social,Term Life,Variant A,42,15.0,1,2026-03-28
CUST-00329,39,50342,Paid Social,Term Life,Control,96,15.0,1,2026-03-06
